地域,,,,,,,,人口,平成22年,平成22年～27年の,平成22年～27年の,,,,,年齢（総数）,,,,年齢別割合（総数）,,,年齢（男）,,,,年齢別割合（男）,,,年齢（女）,,,,年齢別割合（女）,,,,国籍,,世帯,,,,,,,,,,,,,
,,,,,,,,総数,組替人口,人口増減数,人口増減率,面積,人口密度,平均年齢,年齢中位数,"総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","15歳未満
人口割合","15～64歳
人口割合","65歳以上
人口割合","総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","15歳未満
人口割合","15～64歳
人口割合","65歳以上
人口割合","総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","15歳未満
人口割合","15～64歳
人口割合","65歳以上
人口割合",人口性比,日本人,外国人,世帯総数,一般世帯,施設等の世帯,平成22年組替世帯総数,一般世帯数,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（女100人につき男）,,,,,,,,"うち
01,01217,札幌,,,2,北海道,江別市,"120,636 ","123,722 ","-3,086",-2.5,187.38 ,643.8,47.1 ,48.9 ,"120,636 ","13,524 ","74,253 ","32,585 ",11.2 ,61.7 ,27.1 ,"57,391 ","6,868 ","36,364 ","13,970 ",12.0 ,63.6 ,24.4 ,"63,245 ","6,656 ","37,889 ","18,615 ",10.5 ,60.0 ,29.5 ,90.7 ,"120,094 ",391 ,"51,983 ","51,905 ",78 ,"51,170 ","51,905 ","32,310 ","12,868 ","14,486 ",664 ,"4,292 ","16,659 ","5,849 ","7,527 ","1,533 "
01,01218,,,,2,北海道,赤平市,"11,105 ","12,637 ","-1,532",-12.1,129.88 ,85.5,56.8 ,62.4 ,"11,105 ",835 ,"5,306 ","4,964 ",7.5 ,47.8 ,44.7 ,"5,025 ",428 ,"2,554 ","2,043 ",8.5 ,50.8 ,40.7 ,"6,080 ",407 ,"2,752 ","2,921 ",6.7 ,45.3 ,48.0 ,82.6 ,"11,051 ",54 ,"4,980 ","4,948 ",32 ,"5,585 ","4,948 ","2,770 ","1,430 ",802 ,68 ,470 ,"1,828 ","1,098 ","1,011 ",153 
01,01219,,,,2,北海道,紋別市,"23,109 ","24,750 ","-1,641",-6.6,830.78 ,27.8,51.0 ,54.3 ,"23,109 ","2,329 ","12,707 ","7,631 ",10.3 ,56.1 ,33.7 ,"10,954 ","1,221 ","6,347 ","3,082 ",11.5 ,59.6 ,28.9 ,"12,155 ","1,108 ","6,360 ","4,549 ",9.2 ,52.9 ,37.9 ,90.1 ,"22,705 ",310 ,"11,127 ","11,101 ",26 ,"11,390 ","11,101 ","5,900 ","2,878 ","2,020 ",135 ,867 ,"4,461 ","1,683 ","1,676 ",319 
01,01220,,,,2,北海道,士別市,"19,914 ","21,787 ","-1,873",-8.6,"1,119.22 ",17.8,52.9 ,56.7 ,"19,914 ","2,066 ","10,384 ","7,451 ",10.4 ,52.2 ,37.4 ,"9,382 ","1,066 ","5,195 ","3,112 ",11.4 ,55.4 ,33.2 ,"10,532 ","1,000 ","5,189 ","4,339 ",9.5 ,49.3 ,41.2 ,89.1 ,"19,815 ",57 ,"8,650 ","8,625 ",25 ,"9,100 ","8,625 ","5,068 ","2,630 ","1,760 ",118 ,560 ,"2,703 ","1,331 ","1,690 ",410 
01,01221,,,,2,北海道,名寄市,"29,048 ","30,591 ","-1,543",-5.0,535.20 ,54.3,48.1 ,49.1 ,"29,048 ","3,453 ","16,755 ","8,794 ",11.9 ,57.8 ,30.3 ,"14,072 ","1,763 ","8,565 ","3,716 ",12.6 ,61.0 ,26.5 ,"14,976 ","1,690 ","8,190 ","5,078 ",11.3 ,54.8 ,33.9 ,94.0 ,"28,926 ",118 ,"13,086 ","13,012 ",74 ,"13,348 ","13,012 ","7,179 ","3,415 ","2,801 ",139 ,824 ,"4,938 ","1,658 ","2,015 ",437 
01,01222,,,,2,北海道,三笠市,"9,076 ","10,221 ","-1,145",-11.2,302.52 ,30.0,56.8 ,62.8 ,"9,076 ",694 ,"4,199 ","4,181 ",7.6 ,46.3 ,46.1 ,"4,075 ",336 ,"2,109 ","1,629 ",8.2 ,51.8 ,40.0 ,"5,001 ",358 ,"2,090 ","2,552 ",7.2 ,41.8 ,51.0 ,81.5 ,"9,059 ",17 ,"4,254 ","4,241 ",13 ,"4,776 ","4,241 ","2,313 ","1,123 ",703 ,80 ,407 ,"1,649 ","1,050 ",819 ,137 
01,01223,,,,2,北海道,根室市,"26,917 ","29,201 ","-2,284",-7.8,506.25 ,65.4,49.4 ,52.0 ,"26,917 ","3,033 ","15,533 ","8,285 ",11.3 ,57.8 ,30.9 ,"12,862 ","1,570 ","7,830 ","3,413 ",12.3 ,61.1 ,26.6 ,"14,055 ","1,463 ","7,703 ","4,872 ",10.4 ,54.9 ,34.7 ,91.5 ,"26,633 ",253 ,"11,383 ","11,363 ",20 ,"11,897 ","11,363 ","6,314 ","2,777 ","2,375 ",147 ,"1,015 ","3,692 ","1,498 ","1,595 ",833 
01,01224,札幌,,,2,北海道,千歳市,"95,648 ","93,604 ","2,044",2.2,594.50 ,160.9,42.9 ,42.4 ,"95,648 ","13,573 ","61,908 ","19,979 ",14.2 ,64.9 ,20.9 ,"48,588 ","7,011 ","32,634 ","8,851 ",14.5 ,67.3 ,18.3 ,"47,060 ","6,562 ","29,274 ","11,128 ",14.0 ,62.3 ,23.7 ,103.2 ,"95,212 ",435 ,"40,638 ","40,465 ",173 ,"38,541 ","40,465 ","24,115 ","9,054 ","11,459 ",550 ,"3,052 ","14,048 ","3,742 ","4,454 ","1,150 "
01,01225,,,,2,北海道,滝川市,"41,192 ","43,170 ","-1,978",-4.6,115.90 ,355.4,50.1 ,52.8 ,"41,192 ","4,456 ","23,001 ","13,353 ",10.9 ,56.4 ,32.7 ,"19,475 ","2,327 ","11,284 ","5,615 ",12.1 ,58.7 ,29.2 ,"21,717 ","2,129 ","11,717 ","7,738 ",9.9 ,54.3 ,35.9 ,89.7 ,"41,054 ",80 ,"18,651 ","18,600 ",51 ,"18,947 ","18,600 ","10,717 ","5,042 ","3,985 ",230 ,"1,460 ","6,591 ","2,670 ","2,965 ",620 
01,01226,,,,2,北海道,砂川市,"17,694 ","19,056 ","-1,362",-7.1,78.68 ,224.9,52.1 ,56.0 ,"17,694 ","1,758 ","9,355 ","6,390 ",10.0 ,53.4 ,36.5 ,"8,216 ",871 ,"4,573 ","2,670 ",10.7 ,56.4 ,32.9 ,"9,478 ",887 ,"4,782 ","3,720 ",9.4 ,50.9 ,39.6 ,86.7 ,"17,666 ",23 ,"7,858 ","7,840 ",18 ,"8,415 ","7,840 ","4,627 ","2,202 ","1,663 ",104 ,658 ,"2,594 ","1,195 ","1,452 ",293 
